Sample_ID,Correctness,Relevance,Hinglish_Naturalness,Human_Avg_Score
1,8.8,7.8,7.6,8.07
2,6.8,7.8,8.0,7.53
3,6.4,8.4,7.8,7.53
4,6.0,7.8,6.4,6.73
5,7.2,8.0,7.6,7.6
6,8.0,6.4,6.8,7.07
7,6.4,7.0,6.4,6.6
8,6.4,7.2,9.0,7.53
9,8.2,6.6,6.2,7.0
10,8.0,7.4,6.0,7.13
11,7.8,6.2,8.2,7.4
12,7.6,8.2,8.2,8.0
13,7.0,6.2,6.2,6.47
14,7.8,7.2,7.6,7.53
15,6.8,7.2,7.2,7.07
16,8.2,7.0,8.2,7.8
17,8.2,8.6,5.8,7.53
18,8.4,7.2,6.2,7.27
19,8.0,7.2,7.0,7.4
20,7.8,7.8,8.4,8.0
21,8.4,8.0,6.0,7.47
22,8.0,8.4,7.6,8.0
23,7.0,7.6,7.0,7.2
24,6.6,8.6,7.2,7.47
25,6.8,8.0,6.0,6.93
26,7.2,5.4,7.6,6.73
27,6.4,7.0,7.6,7.0
28,6.8,6.2,6.0,6.33
29,7.6,8.0,7.4,7.67
30,6.4,7.8,5.6,6.6
31,8.2,7.6,6.2,7.33
32,7.0,6.8,6.8,6.87
33,7.8,7.6,7.0,7.47
34,7.0,7.0,7.4,7.13
35,7.6,7.8,7.6,7.67
36,7.4,7.8,6.0,7.07
37,7.6,8.6,7.2,7.8
38,8.0,8.4,7.2,7.87
39,7.2,6.0,7.8,7.0
40,6.0,7.4,5.8,6.4
41,7.6,5.8,5.8,6.4
42,7.2,6.4,6.6,6.73
43,7.4,7.0,7.4,7.27
44,6.8,6.8,6.4,6.67
45,8.0,5.4,7.2,6.87
46,6.8,7.8,6.8,7.13
47,8.2,7.0,5.6,6.93
48,6.6,6.4,7.4,6.8
49,5.8,8.4,7.4,7.2
50,7.6,7.0,8.0,7.53
