Sample_ID,Annotator,Correctness,Relevance,Hinglish_Naturalness,Average_Score
1,Rahul,8,9,7,8.0
1,Priya,6,7,6,6.33
1,Amit,8,8,7,7.67
1,Sneha,8,8,8,8.0
1,Vikas,8,10,7,8.33
2,Rahul,8,7,8,7.67
2,Priya,6,7,5,6.0
2,Amit,10,10,10,10.0
2,Sneha,6,5,4,5.0
2,Vikas,6,6,7,6.33
3,Rahul,9,10,8,9.0
3,Priya,8,10,10,9.33
3,Amit,8,7,8,7.67
3,Sneha,8,8,7,7.67
3,Vikas,10,7,7,8.0
4,Rahul,9,9,9,9.0
4,Priya,9,9,9,9.0
4,Amit,8,8,7,7.67
4,Sneha,8,8,7,7.67
4,Vikas,7,7,8,7.33
5,Rahul,5,5,6,5.33
5,Priya,6,8,5,6.33
5,Amit,9,6,7,7.33
5,Sneha,5,5,7,5.67
5,Vikas,6,7,6,6.33
6,Rahul,5,5,4,4.67
6,Priya,7,4,7,6.0
6,Amit,7,8,7,7.33
6,Sneha,5,5,5,5.0
6,Vikas,6,7,5,6.0
7,Rahul,9,10,9,9.33
7,Priya,6,8,8,7.33
7,Amit,8,6,6,6.67
7,Sneha,10,8,10,9.33
7,Vikas,9,8,6,7.67
8,Rahul,7,6,4,5.67
8,Priya,5,6,6,5.67
8,Amit,4,5,6,5.0
8,Sneha,6,6,5,5.67
8,Vikas,5,6,7,6.0
9,Rahul,5,6,4,5.0
9,Priya,5,5,5,5.0
9,Amit,5,7,6,6.0
9,Sneha,5,7,6,6.0
9,Vikas,7,6,6,6.33
10,Rahul,6,8,6,6.67
10,Priya,5,4,5,4.67
10,Amit,7,6,6,6.33
10,Sneha,7,9,6,7.33
10,Vikas,5,7,7,6.33
11,Rahul,7,8,10,8.33
11,Priya,8,7,8,7.67
11,Amit,6,7,8,7.0
11,Sneha,7,6,8,7.0
11,Vikas,5,5,4,4.67
12,Rahul,8,8,8,8.0
12,Priya,9,9,8,8.67
12,Amit,8,7,7,7.33
12,Sneha,8,7,7,7.33
12,Vikas,8,7,8,7.67
13,Rahul,8,10,7,8.33
13,Priya,8,7,8,7.67
13,Amit,10,10,9,9.67
13,Sneha,8,7,9,8.0
13,Vikas,9,9,9,9.0
14,Rahul,9,9,7,8.33
14,Priya,5,5,7,5.67
14,Amit,7,6,7,6.67
14,Sneha,6,5,7,6.0
14,Vikas,7,7,8,7.33
15,Rahul,9,9,10,9.33
15,Priya,9,9,10,9.33
15,Amit,7,9,8,8.0
15,Sneha,6,6,8,6.67
15,Vikas,10,10,10,10.0
16,Rahul,6,7,6,6.33
16,Priya,8,7,8,7.67
16,Amit,6,7,8,7.0
16,Sneha,8,8,7,7.67
16,Vikas,7,7,7,7.0
17,Rahul,8,7,9,8.0
17,Priya,7,8,9,8.0
17,Amit,5,5,5,5.0
17,Sneha,9,7,8,8.0
17,Vikas,9,8,9,8.67
18,Rahul,5,4,4,4.33
18,Priya,7,5,6,6.0
18,Amit,6,6,5,5.67
18,Sneha,7,7,7,7.0
18,Vikas,5,5,4,4.67
19,Rahul,7,5,4,5.33
19,Priya,6,7,6,6.33
19,Amit,7,6,7,6.67
19,Sneha,6,5,4,5.0
19,Vikas,6,5,4,5.0
20,Rahul,8,7,9,8.0
20,Priya,7,6,5,6.0
20,Amit,4,6,7,5.67
20,Sneha,5,5,5,5.0
20,Vikas,5,6,5,5.33
21,Rahul,9,9,9,9.0
21,Priya,10,10,9,9.67
21,Amit,8,9,9,8.67
21,Sneha,8,8,9,8.33
21,Vikas,9,6,6,7.0
22,Rahul,8,8,9,8.33
22,Priya,8,8,8,8.0
22,Amit,8,8,8,8.0
22,Sneha,7,6,7,6.67
22,Vikas,9,10,8,9.0
23,Rahul,10,9,9,9.33
23,Priya,6,6,5,5.67
23,Amit,7,7,8,7.33
23,Sneha,9,8,9,8.67
23,Vikas,9,8,8,8.33
24,Rahul,8,8,7,7.67
24,Priya,10,10,8,9.33
24,Amit,7,8,8,7.67
24,Sneha,6,8,6,6.67
24,Vikas,10,9,10,9.67
25,Rahul,7,7,8,7.33
25,Priya,5,6,5,5.33
25,Amit,8,7,7,7.33
25,Sneha,8,8,9,8.33
25,Vikas,7,8,7,7.33
26,Rahul,5,4,5,4.67
26,Priya,8,7,10,8.33
26,Amit,6,6,6,6.0
26,Sneha,5,5,5,5.0
26,Vikas,7,4,7,6.0
27,Rahul,8,8,8,8.0
27,Priya,7,8,7,7.33
27,Amit,6,8,7,7.0
27,Sneha,6,6,5,5.67
27,Vikas,10,9,8,9.0
28,Rahul,7,5,5,5.67
28,Priya,9,7,9,8.33
28,Amit,5,6,5,5.33
28,Sneha,10,9,8,9.0
28,Vikas,7,6,7,6.67
29,Rahul,4,5,4,4.33
29,Priya,5,7,5,5.67
29,Amit,8,9,8,8.33
29,Sneha,7,7,9,7.67
29,Vikas,7,7,7,7.0
30,Rahul,7,6,7,6.67
30,Priya,10,8,9,9.0
30,Amit,9,9,7,8.33
30,Sneha,9,7,7,7.67
30,Vikas,7,7,5,6.33
31,Rahul,10,10,9,9.67
31,Priya,8,8,8,8.0
31,Amit,9,8,8,8.33
31,Sneha,8,7,9,8.0
31,Vikas,8,6,7,7.0
32,Rahul,7,6,7,6.67
32,Priya,8,7,7,7.33
32,Amit,6,5,5,5.33
32,Sneha,5,6,6,5.67
32,Vikas,7,6,6,6.33
33,Rahul,9,7,9,8.33
33,Priya,8,8,8,8.0
33,Amit,8,8,8,8.0
33,Sneha,8,8,7,7.67
33,Vikas,9,8,6,7.67
34,Rahul,5,5,5,5.0
34,Priya,6,7,6,6.33
34,Amit,6,6,7,6.33
34,Sneha,7,8,7,7.33
34,Vikas,7,7,7,7.0
35,Rahul,4,5,6,5.0
35,Priya,6,5,7,6.0
35,Amit,5,5,5,5.0
35,Sneha,5,5,7,5.67
35,Vikas,6,6,7,6.33
36,Rahul,5,4,5,4.67
36,Priya,6,4,7,5.67
36,Amit,6,5,6,5.67
36,Sneha,8,8,7,7.67
36,Vikas,5,4,7,5.33
37,Rahul,5,4,4,4.33
37,Priya,7,6,9,7.33
37,Amit,5,4,5,4.67
37,Sneha,6,5,4,5.0
37,Vikas,4,5,6,5.0
38,Rahul,5,5,4,4.67
38,Priya,4,5,5,4.67
38,Amit,6,6,5,5.67
38,Sneha,8,8,8,8.0
38,Vikas,4,4,4,4.0
39,Rahul,8,8,10,8.67
39,Priya,9,9,9,9.0
39,Amit,10,10,10,10.0
39,Sneha,8,8,7,7.67
39,Vikas,9,10,8,9.0
40,Rahul,7,8,8,7.67
40,Priya,9,10,8,9.0
40,Amit,7,8,7,7.33
40,Sneha,7,8,7,7.33
40,Vikas,10,7,8,8.33
41,Rahul,6,5,6,5.67
41,Priya,9,10,9,9.33
41,Amit,6,7,6,6.33
41,Sneha,8,10,10,9.33
41,Vikas,7,6,10,7.67
42,Rahul,6,7,8,7.0
42,Priya,4,5,7,5.33
42,Amit,4,4,5,4.33
42,Sneha,7,9,7,7.67
42,Vikas,7,6,7,6.67
43,Rahul,6,6,6,6.0
43,Priya,7,5,9,7.0
43,Amit,5,6,6,5.67
43,Sneha,6,7,5,6.0
43,Vikas,8,7,7,7.33
44,Rahul,8,7,6,7.0
44,Priya,7,6,7,6.67
44,Amit,7,8,7,7.33
44,Sneha,7,5,7,6.33
44,Vikas,7,6,7,6.67
45,Rahul,8,8,5,7.0
45,Priya,10,7,10,9.0
45,Amit,7,6,7,6.67
45,Sneha,9,9,7,8.33
45,Vikas,7,4,7,6.0
46,Rahul,9,8,9,8.67
46,Priya,7,7,8,7.33
46,Amit,7,8,7,7.33
46,Sneha,6,6,6,6.0
46,Vikas,10,10,9,9.67
47,Rahul,8,6,8,7.33
47,Priya,10,9,10,9.67
47,Amit,8,9,7,8.0
47,Sneha,7,7,7,7.0
47,Vikas,6,7,7,6.67
48,Rahul,6,6,5,5.67
48,Priya,8,7,8,7.67
48,Amit,9,9,7,8.33
48,Sneha,7,7,7,7.0
48,Vikas,4,5,4,4.33
49,Rahul,6,7,8,7.0
49,Priya,6,6,6,6.0
49,Amit,8,6,8,7.33
49,Sneha,7,8,7,7.33
49,Vikas,7,7,8,7.33
50,Rahul,8,6,7,7.0
50,Priya,6,6,5,5.67
50,Amit,5,5,6,5.33
50,Sneha,6,4,5,5.0
50,Vikas,6,6,7,6.33
