Sample_ID,Annotator,Correctness,Relevance,Hinglish_Naturalness,Average_Score
1,Rahul,8,10,10,9.33
1,Priya,8,7,9,8.0
1,Amit,10,8,8,8.67
1,Sneha,8,9,4,7.0
1,Vikas,10,5,7,7.33
2,Rahul,9,9,6,8.0
2,Priya,7,8,10,8.33
2,Amit,6,7,10,7.67
2,Sneha,5,7,5,5.67
2,Vikas,7,8,9,8.0
3,Rahul,4,10,6,6.67
3,Priya,8,10,8,8.67
3,Amit,9,6,5,6.67
3,Sneha,5,10,10,8.33
3,Vikas,6,6,10,7.33
4,Rahul,7,10,10,9.0
4,Priya,4,7,5,5.33
4,Amit,8,4,7,6.33
4,Sneha,4,8,4,5.33
4,Vikas,7,10,6,7.67
5,Rahul,9,7,7,7.67
5,Priya,4,10,6,6.67
5,Amit,6,7,6,6.33
5,Sneha,7,7,9,7.67
5,Vikas,10,9,10,9.67
6,Rahul,9,7,6,7.33
6,Priya,9,7,6,7.33
6,Amit,9,8,9,8.67
6,Sneha,4,6,5,5.0
6,Vikas,9,4,8,7.0
7,Rahul,6,9,5,6.67
7,Priya,8,5,9,7.33
7,Amit,5,8,6,6.33
7,Sneha,7,6,8,7.0
7,Vikas,6,7,4,5.67
8,Rahul,5,7,9,7.0
8,Priya,8,6,10,8.0
8,Amit,6,10,8,8.0
8,Sneha,5,5,8,6.0
8,Vikas,8,8,10,8.67
9,Rahul,7,9,7,7.67
9,Priya,7,7,7,7.0
9,Amit,10,4,5,6.33
9,Sneha,7,9,5,7.0
9,Vikas,10,4,7,7.0
10,Rahul,8,10,8,8.67
10,Priya,8,6,5,6.33
10,Amit,10,9,3,7.33
10,Sneha,9,7,8,8.0
10,Vikas,5,5,6,5.33
11,Rahul,10,4,6,6.67
11,Priya,7,7,7,7.0
11,Amit,9,6,10,8.33
11,Sneha,8,6,9,7.67
11,Vikas,5,8,9,7.33
12,Rahul,7,9,5,7.0
12,Priya,10,8,10,9.33
12,Amit,5,10,10,8.33
12,Sneha,6,8,7,7.0
12,Vikas,10,6,9,8.33
13,Rahul,8,6,5,6.33
13,Priya,8,7,5,6.67
13,Amit,5,5,5,5.0
13,Sneha,6,8,9,7.67
13,Vikas,8,5,7,6.67
14,Rahul,7,7,8,7.33
14,Priya,7,7,8,7.33
14,Amit,5,6,7,6.0
14,Sneha,10,9,5,8.0
14,Vikas,10,7,10,9.0
15,Rahul,9,9,10,9.33
15,Priya,10,5,6,7.0
15,Amit,7,8,6,7.0
15,Sneha,4,8,10,7.33
15,Vikas,4,6,4,4.67
16,Rahul,7,8,10,8.33
16,Priya,8,5,7,6.67
16,Amit,8,8,7,7.67
16,Sneha,10,7,7,8.0
16,Vikas,8,7,10,8.33
17,Rahul,10,8,5,7.67
17,Priya,8,8,5,7.0
17,Amit,10,7,8,8.33
17,Sneha,7,10,6,7.67
17,Vikas,6,10,5,7.0
18,Rahul,8,4,6,6.0
18,Priya,10,9,9,9.33
18,Amit,10,8,5,7.67
18,Sneha,7,10,4,7.0
18,Vikas,7,5,7,6.33
19,Rahul,9,6,8,7.67
19,Priya,10,10,3,7.67
19,Amit,7,7,7,7.0
19,Sneha,7,7,10,8.0
19,Vikas,7,6,7,6.67
20,Rahul,8,4,7,6.33
20,Priya,9,9,7,8.33
20,Amit,4,9,9,7.33
20,Sneha,10,7,10,9.0
20,Vikas,8,10,9,9.0
21,Rahul,10,10,4,8.0
21,Priya,9,8,8,8.33
21,Amit,9,6,5,6.67
21,Sneha,9,10,4,7.67
21,Vikas,5,6,9,6.67
22,Rahul,8,4,8,6.67
22,Priya,8,9,6,7.67
22,Amit,9,10,7,8.67
22,Sneha,7,9,9,8.33
22,Vikas,8,10,8,8.67
23,Rahul,8,8,6,7.33
23,Priya,5,4,6,5.0
23,Amit,8,8,8,8.0
23,Sneha,8,8,10,8.67
23,Vikas,6,10,5,7.0
24,Rahul,5,6,7,6.0
24,Priya,5,7,8,6.67
24,Amit,8,10,7,8.33
24,Sneha,8,10,5,7.67
24,Vikas,7,10,9,8.67
25,Rahul,5,6,7,6.0
25,Priya,10,8,8,8.67
25,Amit,6,9,4,6.33
25,Sneha,7,9,8,8.0
25,Vikas,6,8,3,5.67
26,Rahul,6,6,6,6.0
26,Priya,5,4,5,4.67
26,Amit,9,4,10,7.67
26,Sneha,10,8,9,9.0
26,Vikas,6,5,8,6.33
27,Rahul,7,8,7,7.33
27,Priya,7,6,6,6.33
27,Amit,7,8,6,7.0
27,Sneha,6,8,10,8.0
27,Vikas,5,5,9,6.33
28,Rahul,6,7,7,6.67
28,Priya,6,6,6,6.0
28,Amit,9,6,4,6.33
28,Sneha,8,8,6,7.33
28,Vikas,5,4,7,5.33
29,Rahul,8,8,10,8.67
29,Priya,7,6,7,6.67
29,Amit,9,7,5,7.0
29,Sneha,8,10,6,8.0
29,Vikas,6,9,9,8.0
30,Rahul,9,10,4,7.67
30,Priya,5,5,6,5.33
30,Amit,7,5,8,6.67
30,Sneha,6,10,3,6.33
30,Vikas,5,9,7,7.0
31,Rahul,10,7,8,8.33
31,Priya,7,7,7,7.0
31,Amit,7,8,9,8.0
31,Sneha,10,9,4,7.67
31,Vikas,7,7,3,5.67
32,Rahul,4,7,7,6.0
32,Priya,7,7,8,7.33
32,Amit,9,9,4,7.33
32,Sneha,5,5,8,6.0
32,Vikas,10,6,7,7.67
33,Rahul,7,7,7,7.0
33,Priya,10,9,6,8.33
33,Amit,10,7,7,8.0
33,Sneha,7,5,6,6.0
33,Vikas,5,10,9,8.0
34,Rahul,7,7,6,6.67
34,Priya,7,8,10,8.33
34,Amit,7,7,7,7.0
34,Sneha,7,9,7,7.67
34,Vikas,7,4,7,6.0
35,Rahul,6,10,8,8.0
35,Priya,9,5,8,7.33
35,Amit,7,9,9,8.33
35,Sneha,10,9,5,8.0
35,Vikas,6,6,8,6.67
36,Rahul,9,8,3,6.67
36,Priya,9,7,5,7.0
36,Amit,5,8,5,6.0
36,Sneha,8,7,8,7.67
36,Vikas,6,9,9,8.0
37,Rahul,7,8,7,7.33
37,Priya,9,7,4,6.67
37,Amit,4,10,7,7.0
37,Sneha,8,10,10,9.33
37,Vikas,10,8,8,8.67
38,Rahul,9,9,6,8.0
38,Priya,9,8,8,8.33
38,Amit,9,8,5,7.33
38,Sneha,4,7,7,6.0
38,Vikas,9,10,10,9.67
39,Rahul,7,7,5,6.33
39,Priya,8,5,7,6.67
39,Amit,10,5,10,8.33
39,Sneha,5,8,7,6.67
39,Vikas,6,5,10,7.0
40,Rahul,4,6,7,5.67
40,Priya,5,6,7,6.0
40,Amit,7,8,6,7.0
40,Sneha,9,10,3,7.33
40,Vikas,5,7,6,6.0
41,Rahul,7,4,3,4.67
41,Priya,10,5,6,7.0
41,Amit,9,6,9,8.0
41,Sneha,6,5,7,6.0
41,Vikas,6,9,4,6.33
42,Rahul,8,5,9,7.33
42,Priya,7,7,7,7.0
42,Amit,5,8,7,6.67
42,Sneha,6,6,5,5.67
42,Vikas,10,6,5,7.0
43,Rahul,6,9,7,7.33
43,Priya,8,5,7,6.67
43,Amit,10,6,8,8.0
43,Sneha,5,7,8,6.67
43,Vikas,8,8,7,7.67
44,Rahul,7,5,10,7.33
