group1,group2,meandiff,p-adj,lower,upper,reject
agentic_context,chain_of_thought,-0.27,0.9978,-1.5027,0.9627,False
agentic_context,few_shot,-0.006,1.0,-1.2387,1.2267,False
agentic_context,hierarchical_context,-0.09,1.0,-1.3227,1.1427,False
agentic_context,rag_style,-0.3,0.9956,-1.5327,0.9327,False
agentic_context,structured_context,-0.79,0.5153,-2.0227,0.4427,False
agentic_context,tree_of_thought,-0.16,0.9999,-1.3927,1.0727,False
agentic_context,zero_shot,-0.01,1.0,-1.2427,1.2227,False
chain_of_thought,few_shot,0.264,0.9981,-0.9687,1.4967,False
chain_of_thought,hierarchical_context,0.18,0.9998,-1.0527,1.4127,False
chain_of_thought,rag_style,-0.03,1.0,-1.2627,1.2027,False
chain_of_thought,structured_context,-0.52,0.9039,-1.7527,0.7127,False
chain_of_thought,tree_of_thought,0.11,1.0,-1.1227,1.3427,False
chain_of_thought,zero_shot,0.26,0.9982,-0.9727,1.4927,False
few_shot,hierarchical_context,-0.084,1.0,-1.3167,1.1487,False
few_shot,rag_style,-0.294,0.9962,-1.5267,0.9387,False
few_shot,structured_context,-0.784,0.5255,-2.0167,0.4487,False
few_shot,tree_of_thought,-0.154,0.9999,-1.3867,1.0787,False
few_shot,zero_shot,-0.004,1.0,-1.2367,1.2287,False
hierarchical_context,rag_style,-0.21,0.9996,-1.4427,1.0227,False
hierarchical_context,structured_context,-0.7,0.6673,-1.9327,0.5327,False
hierarchical_context,tree_of_thought,-0.07,1.0,-1.3027,1.1627,False
hierarchical_context,zero_shot,0.08,1.0,-1.1527,1.3127,False
rag_style,structured_context,-0.49,0.9283,-1.7227,0.7427,False
rag_style,tree_of_thought,0.14,1.0,-1.0927,1.3727,False
rag_style,zero_shot,0.29,0.9965,-0.9427,1.5227,False
structured_context,tree_of_thought,0.63,0.7753,-0.6027,1.8627,False
structured_context,zero_shot,0.78,0.5323,-0.4527,2.0127,False
tree_of_thought,zero_shot,0.15,1.0,-1.0827,1.3827,False
